customer_id,customer_name,join_date,total_spent,frequency,segment
1,charles_miller,2024-08-13 00:00:00-07:00,294.24,12,occasional
2,michael_long,2024-09-03 00:00:00-07:00,4011.83,7,frequent
3,kimberly_green,2024-01-23 00:00:00-08:00,789.85,15,high_value
4,beverly_bowers,2024-11-03 00:00:00-07:00,1403.0,13,occasional
5,pamela_berg,2024-08-05 00:00:00-07:00,1354.18,18,high_value
6,tiffany_ryan,2024-07-15 00:00:00-07:00,1253.15,1,occasional
7,elizabeth_johnson,2023-09-12 00:00:00-07:00,914.91,42,occasional
8,joseph_thomas,2024-10-21 00:00:00-07:00,1995.77,29,frequent
9,victor_smith,2023-10-12 00:00:00-07:00,3802.82,48,frequent
10,justin_scott,2024-05-29 00:00:00-07:00,3161.12,30,occasional
11,heather_munoz,2024-10-19 00:00:00-07:00,1904.17,26,occasional
12,john_snow_dvm,2023-08-11 00:00:00-07:00,2319.36,43,high_value
13,david_gaines,2024-11-14 00:00:00-08:00,1417.41,46,occasional
14,angel_cameron,2024-05-08 00:00:00-07:00,2555.56,40,occasional
15,jonathan_nguyen_phd,2024-08-13 00:00:00-07:00,978.83,46,occasional
16,angela_smith,2024-12-13 00:00:00-08:00,3276.77,4,high_value
17,david_frazier,2024-04-05 00:00:00-07:00,4699.68,21,high_value
18,raymond_dawson,2024-04-14 00:00:00-07:00,4725.46,24,occasional
19,kristina_blair,2025-04-07 00:00:00-07:00,2467.08,46,high_value
20,alex_king,2025-03-02 00:00:00-08:00,3996.57,27,frequent
21,shane_andersen,2023-09-19 00:00:00-07:00,2865.38,46,frequent
22,kevin_robbins,2023-09-10 00:00:00-07:00,1604.29,6,frequent
23,monica_johnson,2024-08-12 00:00:00-07:00,1787.39,18,occasional
24,cheryl_sanders,2024-06-18 00:00:00-07:00,287.98,6,high_value
25,cody_wallace_md,2023-10-12 00:00:00-07:00,3803.58,33,high_value
26,lisa_sanchez,2023-09-05 00:00:00-07:00,4329.15,4,high_value
27,ralph_li,2024-07-06 00:00:00-07:00,945.71,21,frequent
28,kevin_wells,2024-11-23 00:00:00-08:00,1102.38,37,occasional
29,ashley_briggs,2023-07-08 00:00:00-07:00,4375.77,3,
30,adam_gregory,2024-06-29 00:00:00-07:00,215.55,47,occasional
31,yolanda_bennett,2024-04-30 00:00:00-07:00,1468.95,41,high_value
32,chris_bonilla,2024-07-31 00:00:00-07:00,2802.63,49,high_value
33,bonnie_martin,2024-05-02 00:00:00-07:00,4010.03,12,occasional
34,alexandra_hernandez,2024-11-11 00:00:00-08:00,3843.28,0,high_value
35,douglas_smith,2024-05-07 00:00:00-07:00,3976.83,13,frequent
36,caitlin_collins,2025-05-20 00:00:00-07:00,3696.33,42,frequent
37,christopher_simmons,2024-03-20 00:00:00-07:00,3415.21,39,high_value
38,angela_cook,2024-01-08 00:00:00-08:00,2887.93,4,frequent
39,krista_peters,2023-10-31 00:00:00-07:00,4560.03,8,frequent
40,emily_adams,2024-05-12 00:00:00-07:00,1151.73,22,high_value
41,david_pierce,2025-04-18 00:00:00-07:00,4861.94,8,high_value
42,christopher_anderson,2024-01-25 00:00:00-08:00,1517.52,27,high_value
43,ernest_palmer,2024-01-18 00:00:00-08:00,1784.81,43,occasional
44,todd_ruiz,2025-03-26 00:00:00-07:00,3548.35,35,high_value
45,cynthia_morgan,2024-05-03 00:00:00-07:00,3601.28,20,occasional
46,brandy_rogers,2024-03-18 00:00:00-07:00,3976.36,27,occasional
47,karen_warren,2023-08-23 00:00:00-07:00,4518.97,19,high_value
48,laura_rhodes,2024-02-22 00:00:00-08:00,3776.15,18,high_value
49,tonya_crawford,2025-04-08 00:00:00-07:00,2182.44,15,high_value
50,cindy_liu,2025-04-02 00:00:00-07:00,1226.24,39,
51,jennifer_andersen,2024-10-08 00:00:00-07:00,3985.4,4,high_value
52,ryan_pena,2024-01-03 00:00:00-08:00,1307.48,49,frequent
