product_id,product_name,category,supplier_id,unit_cost,status,brand,list_price,median_unit_cost
1,use_bakery,bakery,1664,4.58,active,warren_foster,5.99,10.3
2,thank_frozen_foods,dairy,1662,5.43,backordered,evans_and_sons,7.03,10.28
3,customer_produce,beverages,917,1.83,backordered,newman_and_sons,2.73,10.405000000000001
4,sign_dairy,produce,268,8.99,active,mclaughlin_little,14.17,9.855
5,place_frozen_foods,bakery,964,73.3,backordered,leblanc_james_and_thompson,11.08,10.3
6,voice_produce,beverages,169,15.16,backordered,howard_jones_and_ashley,18.28,10.405000000000001
7,home_produce,bakery,911,10.3,backordered,unknown,2.98,10.3
8,care_dairy,beverages,1628,18.64,active,unknown,26.67,10.405000000000001
9,add_bakery,snacks,1115,14.86,backordered,johnston_gross_and_ellis,22.15,10.47
10,tell_snacks,snacks,938,12.9,backordered,edwards_horne_and_soto,21.07,10.47
11,mention_produce,frozen_foods,1701,14.25,discontinued,fowler_llc,20.19,10.58
12,least_produce,produce,209,7.91,backordered,garcia_williams,12.59,9.855
13,situation_dairy,frozen_foods,818,6.5,active,washington_inc,10.9,10.58
14,parent_snacks,beverages,441,13.88,active,villanueva_williams_and_green,18.7,10.405000000000001
15,party_dairy,snacks,1696,13.16,active,ramos_inc,19.24,10.47
16,you_bakery,snacks,261,9.42,active,king_lewis_and_edwards,12.34,10.47
17,reason_snacks,frozen_foods,942,16.09,discontinued,kidd_oliver_and_williams,22.9,10.58
18,since_beverages,frozen_foods,396,4.21,active,grant_franklin,6.95,10.58
19,mouth_produce,beverages,1810,5.77,discontinued,garcia_goodman_and_weaver,7.3,10.405000000000001
20,movement_snacks,snacks,1098,10.47,backordered,west_christensen,13.46,10.47
21,get_snacks,beverages,1150,12.16,backordered,unknown,15.5,10.405000000000001
22,break_beverages,dairy,1204,6.99,discontinued,collins_wells_and_christian,8.92,10.28
23,popular_produce,bakery,762,6.15,backordered,unknown,10.04,10.3
24,idea_beverages,dairy,782,7.82,active,smith_plc,13.87,10.28
25,add_frozen_foods,bakery,769,10.3,discontinued,cooke_hayes_and_olson,14.68,10.3
26,finish_beverages,produce,1869,8.69,discontinued,hernandez_and_sons,10.78,9.855
27,school_frozen_foods,produce,1913,9.68,backordered,johnson_llc,14.58,9.855
28,time_frozen_foods,snacks,59,18.75,active,unknown,31.21,10.47
29,yourself_beverages,bakery,163,2.14,backordered,ortega_group,3.47,10.3
30,fast_snacks,bakery,1508,17.15,discontinued,perez_wong_and_smith,29.94,10.3
31,maybe_snacks,frozen_foods,1050,13.25,backordered,howell_mitchell,19.58,10.58
32,music_snacks,bakery,1141,16.39,active,valdez_and_sons,26.44,10.3
33,police_bakery,dairy,1964,17.39,backordered,saunders_ltd,26.87,10.28
34,use_beverages,dairy,1665,12.89,active,dominguez_pena_and_osborne,22.03,10.28
35,color_dairy,dairy,229,3.42,backordered,watts_schroeder,4.13,10.28
36,little_bakery,bakery,647,15.82,active,taylor_thomas,24.16,10.3
37,minute_frozen_foods,beverages,630,9.61,active,rivera_inc,15.11,10.405000000000001
38,certainly_beverages,bakery,1298,3.43,active,garcia_plc,4.33,10.3
39,why_produce,dairy,1631,7.08,active,jackson_cain_and_garcia,9.1,10.28
40,benefit_frozen_foods,beverages,23,17.46,active,joyce_le_and_wallace,31.28,10.405000000000001
41,item_dairy,dairy,10,2.87,backordered,carroll_aguilar_and_richardson,4.62,10.28
42,success_produce,bakery,975,12.44,backordered,brown_duke,16.39,10.3
43,maintain_frozen_foods,dairy,357,10.28,backordered,byrd_hayden_and_cunningham,23.52,10.28
44,top_produce,bakery,1464,3.92,backordered,mills_llc,6.94,10.3
45,public_bakery,snacks,606,8.35,discontinued,stone_boyd_and_wilson,10.46,10.47
46,fact_produce,produce,1857,4.15,backordered,lopez_llc,6.93,9.855
47,into_bakery,beverages,1775,10.1,discontinued,johnson_heath,16.95,10.405000000000001
48,director_snacks,produce,162,5.2,backordered,ray_brown_and_lang,6.29,9.855
49,it_produce,frozen_foods,435,19.18,discontinued,shelton_morales,24.72,10.58
50,away_dairy,bakery,196,7.7,active,valencia_smith,12.82,10.3
51,trouble_produce,dairy,618,0.69,discontinued,unknown,1.17,10.28
52,organization_frozen_foods,snacks,1083,15.62,backordered,diaz_group,19.81,10.47
53,right_frozen_foods,snacks,46,2.06,backordered,thornton_and_sons,2.8,10.47
54,claim_bakery,snacks,1942,8.12,backordered,unknown,11.54,10.47
55,per_dairy,frozen_foods,842,12.93,discontinued,terry_group,22.12,10.58
56,field_beverages,dairy,567,5.99,active,moore_rodriguez_and_woods,9.81,10.28
57,member_snacks,beverages,93,4.33,active,johnson_park_and_anderson,5.87,10.405000000000001
58,sense_dairy,beverages,390,12.16,discontinued,butler_kent_and_henry,21.15,10.405000000000001
59,rock_bakery,snacks,373,4.67,backordered,taylor_sloan,6.01,10.47
60,candidate_produce,beverages,993,2.71,discontinued,jones_richardson,4.26,10.405000000000001
61,radio_snacks,beverages,726,17.93,backordered,wells_allen_and_williams,24.43,10.405000000000001
62,until_snacks,beverages,135,5.95,discontinued,johnson_ltd,8.91,10.405000000000001
63,response_dairy,bakery,1713,15.65,discontinued,collins_odom_and_ross,19.11,10.3
64,week_produce,produce,554,5.08,backordered,stein_hodge,6.59,9.855
65,as_frozen_foods,frozen_foods,1505,5.41,backordered,edwards_meadows,8.82,10.58
66,prevent_frozen_foods,beverages,30,4.42,active,richardson_wagner_and_morris,5.38,10.405000000000001
67,interview_snacks,frozen_foods,97,13.66,active,lee_williams,18.44,10.58
68,another_snacks,produce,1274,14.89,discontinued,swanson_terrell,25.0,9.855
69,theory_frozen_foods,beverages,1907,5.44,backordered,shaw_thompson_and_jacobs,9.25,10.405000000000001
70,begin_dairy,bakery,834,17.27,discontinued,blackwell_shields_and_jensen,21.65,10.3
71,reach_dairy,dairy,260,18.0,backordered,marks_and_sons,28.75,10.28
